yearterm,subject,crse,sec,instructor_last,instructor_first,forms_requested,forms_returned,percentage_passed,course_overall,course_overall_SD,instructor_overall,instructor_overall_SD,total_hours,prior_interest,effectiveness,availability,challenge,amount_learned,respect,course_title,campus,college,instructor_group
20121,CSCI,1240,1,EISENBERG,MICHAEL,35,12,100%,5.2,0.9,5.4,1,4-6,4.3,5.3,5.2,4,4.8,5.8,COMPUTATIONAL WORLD,BD,EN,TTT
20121,CSCI,1300,100,DUPLYAKIN,DMITRY,259,131,99%,4.8,1.1,4.7,1.1,7-9,4.4,4.4,5,4.6,4.9,5.9,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,102,WING,ROWAN,24,19,100%,4.9,0.9,5.7,0.5,4-6,4.1,5.3,5.8,4.8,5.2,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,103,WING,ROWAN,24,13,100%,4.6,1,5.8,0.4,4-6,4.8,5.2,5.7,4.3,4.5,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,104,BARRENECHEA,MARIO,25,16,94%,4.5,0.6,4.4,1,4-6,4.5,4.2,5.2,3.9,4.3,5.9,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,105,BARRENECHEA,MARIO,24,12,100%,4.8,1.4,5.5,0.7,7-9,4.2,5.1,5.2,4.9,4.8,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,106,BARRENECHEA,MARIO,25,14,93%,4.9,1,5.2,1.3,4-6,4.4,5,5.6,4.4,4.6,5.9,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,107,WING,ROWAN,24,19,100%,4.6,1.1,5.4,1,7-9,4.2,4.8,5.4,4.8,5.2,5.8,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,108,BASAWAPATNA,ASHOK,25,16,100%,5.4,0.6,5.8,0.4,7-9,3.4,5.4,5.6,5.1,5.8,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,109,BASAWAPATNA,ASHOK,24,13,100%,5.4,0.7,5.5,0.7,7-9,4.5,5.2,5.2,5.1,5.3,5.9,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,111,BASAWAPATNA,ASHOK,23,5,100%,5,1,5.4,0.9,7-9,5.2,4.8,4.8,4.4,4.8,5.2,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,112,COLEMAN,DAVID,18,14,100%,4.4,1.5,5,1.3,7-9,4.5,4.1,4.5,4.6,4.5,5.6,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,113,COLEMAN,DAVID,23,14,100%,4.5,1.3,4.8,1.3,7-9,4.8,4.4,4.4,4.9,4.6,5.6,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,2270,10,MISHRA,SHIVAKANT,148,64,100%,4,1.1,3.7,1.5,10-12,4.9,3.5,4.1,4.8,4.6,5.8,COMP SCI II: DATA STRUCT,BD,EN,TTT
20121,CSCI,2270,11,SULTAN,MD,22,10,100%,3.7,1.4,3.9,1.4,7-9,4.4,3.7,4.1,4.7,4.2,5.7,COMP SCI II: DATA STRUCT,BD,EN,TA
20121,CSCI,2270,12,SULTAN,MD,22,16,94%,4.1,1.2,4.7,1.5,10-12,4.9,4.1,4.6,4.1,4.2,5.9,COMP SCI II: DATA STRUCT,BD,EN,TA
20121,CSCI,2270,13,MAHDIAN,ALIREZA,21,10,90%,3.4,0.9,4.2,0.9,7-9,4.9,3.7,4.2,4.7,4.3,5.9,COMP SCI II: DATA STRUCT,BD,EN,TA
20121,CSCI,2270,14,MAHDIAN,ALIREZA,22,14,100%,4.4,0.9,4.2,1.5,10-12,4.8,3.8,4.6,4.9,5.1,5.5,COMP SCI II: DATA STRUCT,BD,EN,TA
20121,CSCI,2270,15,MAHDIAN,ALIREZA,23,11,100%,4.3,1.8,3.9,2,7-9,5.4,3.8,4.6,4.7,4.8,5.7,COMP SCI II: DATA STRUCT,BD,EN,TA
20121,CSCI,2270,16,MAHDIAN,ALIREZA,22,10,100%,4.1,1.4,4.2,1.8,7-9,4.9,3.7,5.2,4.9,4.3,5.7,COMP SCI II: DATA STRUCT,BD,EN,TA
20121,CSCI,2270,18,SULTAN,MD,16,7,100%,4.4,1.1,4.9,1.2,10-12,5.1,4.4,4.6,4.1,4.6,6,COMP SCI II: DATA STRUCT,BD,EN,TA
20121,CSCI,2824,1,SANKARANARAYANAN,SR,49,23,100%,5.2,0.7,5.8,0.5,7-9,4.2,5.5,5.7,4.7,5,5.9,DISCRETE STRUCTURES,BD,EN,TTT
20121,CSCI,3002,2,LEWIS,CLAYTON,61,53,98%,4.8,1.1,5.5,0.8,4-6,4.2,5,5.2,3.6,4.5,5.9,HUMAN-CENTERED COMPUTING,BD,EN,TTT
20121,CSCI,3104,10,EHRENFEUCHT,ANDRZEJ,81,54,100%,4.9,1,5,1,7-9,4.6,4.6,5.2,4.4,4.5,5.9,ALGORITHMS,BD,EN,TTT
20121,CSCI,3104,11,PETERSON,DANIEL,34,21,100%,5.2,1.1,5.4,1.3,7-9,4.3,5.1,5.4,4.5,4.7,5.8,ALGORITHMS,BD,EN,TA
20121,CSCI,3104,12,PETERSON,DANIEL,32,18,100%,4.8,0.9,5.6,0.6,7-9,4.8,4.7,5.4,4.5,4.5,5.9,ALGORITHMS,BD,EN,TA
20121,CSCI,3104,13,PETERSON,DANIEL,15,8,100%,4.9,1.1,5,1.4,7-9,5.1,4.9,5.3,5,5,5.9,ALGORITHMS,BD,EN,TA
20121,CSCI,3155,10,CHANG,BOR-YUH,103,65,100%,3.3,1.5,3.7,1.7,13-15,3.7,3.5,4.9,5.4,3.7,5.8,PRINCIP OF PROG LANGS,BD,EN,TTT
20121,CSCI,3155,12,CHAKAROV,ALEKSANDAR,27,9,100%,4,1.6,5.1,0.9,7-9,3.4,4.4,5.2,4.7,4.9,6,PRINCIP OF PROG LANGS,BD,EN,TA
20121,CSCI,3155,13,BENNETT,HUXLEY,27,9,100%,4.3,1.4,5.6,0.5,10-12,4.4,4.9,5.2,5.2,4.8,5.9,PRINCIP OF PROG LANGS,BD,EN,TA
20121,CSCI,3155,14,BLACKSHEAR,SAMUEL,27,9,100%,5,1.2,5.1,1.3,7-9,4.2,4.9,5.6,5.2,4.9,6,PRINCIP OF PROG LANGS,BD,EN,TA
20121,CSCI,3155,15,TSAI,YI-FAN,22,7,100%,2.6,1.7,3.4,1.8,10-12,4.1,3,4.3,5.3,2.9,5.9,PRINCIP OF PROG LANGS,BD,EN,TA
20121,CSCI,3434,1,GOLDBERG,DEBRA,25,15,100%,5,1.1,5.2,0.9,7-9,3.9,4.7,5.6,5,5.1,6,THEORY OF COMPUTATION,BD,EN,TTT
20121,CSCI,3656,1,JESSUP,ELIZABETH,45,30,100%,3.9,1,4.1,1.4,7-9,3.9,3.8,4.8,4.6,4.2,5.8,NUMERICAL COMP 1,BD,EN,TTT
20121,CSCI,3753,10,HAN,RICHARD,76,39,100%,5.4,0.9,5.6,0.7,10-12,4.5,5.2,5.4,5.1,5.3,6,OPERATING SYSTEMS,BD,EN,TTT
20121,CSCI,3753,11,SAYLER,ANDREW,26,12,100%,5.9,0.3,6,0,10-12,5.2,6,5.8,5.3,5.8,6,OPERATING SYSTEMS,BD,EN,TA
20121,CSCI,3753,12,SAYLER,ANDREW,27,19,100%,5.5,0.6,5.6,0.6,10-12,5.1,5.3,5.8,5.4,5.6,5.9,OPERATING SYSTEMS,BD,EN,TA
20121,CSCI,3753,13,AHN,JUNHO,23,4,100%,5.8,0.5,4,2.4,16+,4.5,2.5,3.8,5.5,4.8,5.5,OPERATING SYSTEMS,BD,EN,TA
20121,CSCI,4113,1,ELATOV,KARIM,85,43,100%,4.7,1.4,5,1.3,4-6,4.8,4.7,5.5,4,4.3,4.9,UNIX SYSTEM ADMIN,BD,EN,OTH
20121,CSCI,4123,11,SANTOS,JOSE,13,1,100%,2,,2,,16+,2,3,4,4,5,6,NETWORK LAB,BD,EN,OTH
20121,CSCI,4318,10,KESSEL,ANDREW,46,28,100%,4.1,1.1,4.1,1.3,10-12,4.5,3.5,4.6,4.4,4.4,5.8,SOFTWARE ENG PROJECT 2,BD,EN,OTH
20121,CSCI,4318,11,KANAKIA,ANSHUL,46,19,95%,3.8,1.2,4.6,1.5,10-12,4.5,3.9,4.6,4.2,4.3,5.6,SOFTWARE ENG PROJECT 2,BD,EN,TA
20121,CSCI,4318,11,DI NATALE,FRANCESCO,46,19,100%,4.6,1.1,4.9,1.2,10-12,4.9,4.7,4.9,4.7,4.7,5.7,SOFTWARE ENG PROJECT 2,BD,EN,TA
20121,CSCI,4446,1,BRADLEY,ELIZABETH,29,27,96%,5.6,0.6,5.7,0.6,7-9,4.7,5.6,5.4,5.2,5.4,6,CHAOTIC DYNAMICS,BD,EN,TTT
20121,CSCI,4576,10,HAUSER,THOMAS,24,17,100%,4.5,1.2,4.5,1.3,10-12,4.8,4.5,4.8,5.1,4.9,5.8,HIGH-PERFORMANCE SCI COM,BD,EN,OTH
20121,CSCI,4576,11,LUNACEK,MONTE,24,17,100%,4.9,1.1,5.4,0.7,10-12,4.7,5.4,5.4,5.1,5.2,5.8,HIGH-PERFORMANCE SCI COM,BD,EN,OTH
20121,CSCI,4753,2,GRUNWALD,DIRK,31,18,100%,4.5,1.1,5,1.3,7-9,3.8,4.4,4.3,4.6,4.5,5.9,COMP PERFORM MODELING,BD,EN,TTT
20121,CSCI,4810,2,GOLDBERG,DEBRA,3,2,100%,6,0,6,0,0-3,4.5,5,6,4.5,5,6,SEM:  COMPUTATIONAL BIOL,BD,EN,TTT
20121,CSCI,4830,1,KING,ROGER,12,7,100%,5.1,0.7,5.4,0.5,7-9,5.4,5.1,5.7,4.4,5.1,5.9,SPEC TPCS IN COMPUTER SC,BD,EN,TTT
20121,CSCI,4830,2,SCHREUDER,WILLEM,23,15,100%,5.7,0.8,5.7,0.8,10-12,5.9,5.9,5.5,5.3,5.3,5.9,SPEC TPCS IN COMPUTER SC,BD,EN,OTH
20121,CSCI,4830,3,LV,QIN,32,20,100%,4.8,1,5,1,10-12,4.8,4.9,5.4,4.6,4.6,5.9,SPEC TPCS IN COMPUTER SC,BD,EN,TTT
20121,CSCI,4830,4,CORRELL,NIKOLAUS,14,6,100%,4.8,0.8,5.2,0.8,7-9,4.5,5.3,5.3,5.2,4.7,6,SPEC TPCS IN COMPUTER SC,BD,EN,TTT
20121,CSCI,4830,11,EISENBERG,MICHAEL,13,11,100%,5.8,0.4,6,0,10-12,5,5.7,6,4.8,5.1,6,SPEC TPCS IN COMPUTER SC,BD,EN,TTT
20121,CSCI,4830,13,REPENNING,ALEX,20,15,100%,4.4,1,4.6,1.3,7-9,4.9,4.4,4.4,3.7,4.3,5.9,SPEC TPCS IN COMPUTER SC,BD,EN,OTH
20121,CSCI,4830,801,SMITH,JOHN,6,5,100%,5.6,0.9,6,0,4-6,6,5.8,5.6,5.4,5.4,6,SPEC TPCS IN COMPUTER SC,BD,EN,OTH
20121,CSCI,5454,1,CLAUSET,AARON,38,37,100%,4.9,0.7,4.9,0.9,13-15,5.2,4.9,4.9,5.5,4.8,5.8,DESIGN ANLYS OF ALGOS,BD,EN,TTT
20121,CSCI,5636,2,CAI,XIAO,6,3,100%,6,0,6,0,7-9,5.7,6,6,6,6,6,NUM SOL PART DIF EQUAT,BD,EN,TTT
20121,CSCI,5673,2,MISHRA,SHIVAKANT,23,20,100%,4.3,1.5,4.5,1.5,10-12,4.8,4.3,4.7,4.6,4.4,5.8,DISTRIBUTED SYSTEMS,BD,EN,TTT
20121,CSCI,5817,1,KING,ROGER,19,14,100%,3.9,1.6,4,1.5,4-6,4.1,4.1,5,3.3,3.6,6,DATABASE SYSTEMS,BD,EN,TTT
20121,CSCI,5828,1,ANDERSON,KENNETH,37,29,100%,5.1,1.1,5.5,0.9,7-9,5.3,5.5,5.8,4.7,5,5.9,FOUNDATIONS/SFTWARE ENGR,BD,EN,TTT
20121,CSCI,5919,1,PALEN,LEYSIA,17,15,100%,5.6,0.5,5.8,0.4,10-12,4.7,5.7,5.5,5.1,5.7,5.9,HUMAN-COMPUTER INTERACTI,BD,EN,TTT
20121,CSCI,6402,1,KIM,ALBERT,35,29,100%,5.2,0.8,5.3,0.8,4-6,4.9,5,4.8,4.3,4.7,5.9,METHODS IN COGNITIVE SCI,BD,EN,TTT
20121,CSCI,6402,1,EISENBERG,MICHAEL,35,29,100%,5.1,0.9,5.6,0.6,4-6,4.9,5.6,4.9,4.3,4.9,5.9,METHODS IN COGNITIVE SCI,BD,EN,TTT
20121,CSCI,7000,7,SIEK,KATIE,6,6,100%,5.8,0.4,5.8,0.4,10-12,5.2,5.8,5.8,5.8,5.8,6,CURRENT TPCS IN COMPUTER,BD,EN,TTT
20121,CSCI,7000,15,PALEN,LEYSIA,7,7,100%,5.3,0.8,5.7,0.5,7-9,5.7,5.6,5.4,4.8,5,6,CURRENT TPCS IN COMPUTER,BD,EN,TTT
20121,CSCI,7412,1,MOZER,MICHAEL,2,1,100%,4,,6,,4-6,4,6,6,4,6,6,COG SCI RSRCH PRAC 1,BD,EN,TTT
20121,CSCI,7422,1,MOZER,MICHAEL,7,5,100%,5.2,0.4,5.6,0.9,7-9,5.6,5.6,5.8,4.6,4.6,5.4,COG SCI RSRCH PRAC 2,BD,EN,TTT
20121,CSCI,7772,1,MOZER,MICHAEL,18,13,100%,4.8,1,5.2,1.2,4-6,5.2,4.8,5.1,4.4,4.7,5.5,TPCS-COGNITIVE SCIENCE,BD,EN,TTT
20117,CSCI,1000,1,LEWIS,CLAYTON,96,57,98%,3.9,1.5,4.9,1.2,0-3,4.5,4.3,4.7,2.4,3.3,5.8,CS AS FIELD OF WK & STDY,BD,EN,TTT
20117,CSCI,1300,10,MAIN,MICHAEL,52,32,100%,5.4,1,5.6,1.1,7-9,5.1,5.5,5.4,5,5.2,5.9,COMP SCI I: PROGRAMMING,BD,EN,TTT
20117,CSCI,1300,200,MAIN,MICHAEL,206,99,100%,5.1,1.1,5.6,0.8,7-9,4.7,5.3,5.5,4.7,4.9,5.9,COMP SCI I: PROGRAMMING,BD,EN,TTT
20117,CSCI,1300,301,COLEMAN,DAVID,24,8,100%,5,0.9,5.4,0.5,7-9,4.5,4.9,5.1,4.8,5,5.8,COMP SCI I: PROGRAMMING,BD,EN,TA
20117,CSCI,1300,303,COLEMAN,DAVID,22,7,100%,5.3,0.8,5,1,7-9,4.1,4.7,5,5,5,5.6,COMP SCI I: PROGRAMMING,BD,EN,TA
20117,CSCI,1300,304,COLEMAN,DAVID,25,3,100%,5,0,5.3,0.6,10-12,4.3,5,6,4.7,6,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20117,CSCI,1300,305,AHN,JUNHO,25,3,100%,5.7,0.6,4.3,0.6,7-9,5.3,3.7,5,5,5.7,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20117,CSCI,1300,306,AHN,JUNHO,25,4,100%,4,2.2,4,2.2,10-12,5,4,5,4.5,3.8,5.5,COMP SCI I: PROGRAMMING,BD,EN,TA
20117,CSCI,1300,307,AHN,JUNHO,25,4,100%,5.5,0.6,5.5,1,7-9,5,5,5.3,4.8,5,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20117,CSCI,1300,321,DUPLYAKIN,DMITRY,25,3,100%,5,1,6,0,0-3,4,4.7,5.3,4,4.7,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20117,CSCI,1300,322,DUPLYAKIN,DMITRY,25,9,100%,5.2,0.8,5.9,0.3,4-6,5.4,5.6,5.6,4.4,4.6,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20117,CSCI,1300,323,DUPLYAKIN,DMITRY,25,11,100%,5.3,0.8,5.4,0.8,7-9,5,5.3,5.4,4.5,5.5,5.7,COMP SCI I: PROGRAMMING,BD,EN,TA
20117,CSCI,1300,324,COLEMAN,DAVID,14,3,100%,2,1,3.7,2.5,10-12,4,3.3,4,3.7,3,4.3,COMP SCI I: PROGRAMMING,BD,EN,TA
20117,CSCI,1300,325,AHN,JUNHO,23,2,100%,5,1.4,5,1.4,13-15,5.5,5.5,4,4.5,4.5,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20117,CSCI,2270,100,WHITE,ELIZABETH,102,64,100%,4.3,1.2,4.6,1.5,10-12,4.9,4.5,5.2,4.8,4.7,5.7,COMP SCI II: DATA STRUCT,BD,EN,OTH
20117,CSCI,2270,301,MAHDIAN,ALIREZA,21,9,100%,5,0.5,4.9,1.2,7-9,4.8,4.1,5.2,5,4.9,5.9,COMP SCI II: DATA STRUCT,BD,EN,TA
20117,CSCI,2270,302,MAHDIAN,ALIREZA,20,7,100%,4.9,1.1,4,1.5,7-9,4.9,3.4,4.4,4.9,5,5.9,COMP SCI II: DATA STRUCT,BD,EN,TA
20117,CSCI,2270,303,SULTAN,MD,21,14,100%,4.6,1.2,4.6,1.3,10-12,4.4,3.9,4.8,4.9,4.2,6,COMP SCI II: DATA STRUCT,BD,EN,TA
20117,CSCI,2270,304,SULTAN,MD,13,11,100%,4.4,1.1,5.2,0.8,10-12,4.4,4.1,4.8,4.6,4.6,6,COMP SCI II: DATA STRUCT,BD,EN,TA
20117,CSCI,2270,305,SULTAN,MD,17,6,100%,3.3,1.8,4,1.4,7-9,5.2,3.2,4.2,5,4,5.3,COMP SCI II: DATA STRUCT,BD,EN,TA
20117,CSCI,2270,306,MAHDIAN,ALIREZA,7,2,100%,5,0,5,0,7-9,4.5,4.5,5,5,5.5,6,COMP SCI II: DATA STRUCT,BD,EN,TA
20117,CSCI,2400,10,GRUNWALD,DIRK,137,75,100%,4.7,1.3,5.1,1.2,10-12,4.3,4.9,4.7,5.5,5.2,5.9,COMPUTER SYSTEMS,BD,EN,TTT
20117,CSCI,2400,11,SAYLER,ANDREW,17,9,100%,4.6,1.6,4.9,0.9,10-12,4.1,4.7,4.9,5.4,5.2,5.8,COMPUTER SYSTEMS,BD,EN,TA
20117,CSCI,2400,12,SAYLER,ANDREW,20,12,100%,4.7,1.2,5.1,1,7-9,4.7,4.5,4.8,5.4,5.2,5.9,COMPUTER SYSTEMS,BD,EN,TA
20117,CSCI,2400,13,SAYLER,ANDREW,20,13,100%,4.7,1.3,4.6,0.9,10-12,4.6,4.1,4.8,5.4,5,5.8,COMPUTER SYSTEMS,BD,EN,TA
20117,CSCI,2400,14,PETERSON,DANIEL,19,12,100%,4.9,1,5,0.9,7-9,4.7,4.6,5,5.2,5.2,5.9,COMPUTER SYSTEMS,BD,EN,TA
20117,CSCI,2400,15,PETERSON,DANIEL,20,5,100%,4.8,2.2,5.8,0.4,7-9,4.6,5.2,6,5.2,4.8,6,COMPUTER SYSTEMS,BD,EN,TA
20117,CSCI,2400,16,PETERSON,DANIEL,21,9,100%,4.6,1.2,4.8,1.4,7-9,3.3,4.6,4,5.2,4.6,5.8,COMPUTER SYSTEMS,BD,EN,TA
20117,CSCI,2400,18,SAYLER,ANDREW,20,12,100%,4.7,1.2,5.2,0.7,10-12,4.8,4.8,4.8,5.3,4.8,5.7,COMPUTER SYSTEMS,BD,EN,TA
20117,CSCI,2824,1,EISENBERG,MICHAEL,73,49,100%,4.5,1.2,5.1,0.9,4-6,3.7,5,4.5,4.4,4.2,5.9,DISCRETE STRUCTURES,BD,EN,TTT
20117,CSCI,2830,2,JESSUP,ELIZABETH,39,23,100%,3.7,1.1,4,1.3,7-9,3.3,3.5,5,4.8,4.2,5.8,SPECIAL TOPICS,BD,EN,TTT
20117,CSCI,3104,10,LV,QIN,50,21,100%,4.1,1,4.4,1.1,4-6,4,3.9,5.1,4.2,4.4,5.9,ALGORITHMS,BD,EN,TTT
20117,CSCI,3104,11,GU,HANSU,12,6,100%,3.5,0.8,4,1.2,4-6,4.5,3,4.8,3.5,3.8,6,ALGORITHMS,BD,EN,TA
20117,CSCI,3104,12,GU,HANSU,14,7,100%,3.1,1.9,2.7,1.9,4-6,4,2.1,2.9,3.9,3.1,5.4,ALGORITHMS,BD,EN,TA
20117,CSCI,3104,13,GU,HANSU,24,10,100%,3.1,1.4,2.8,1.5,4-6,4,2.1,3.9,3.1,3.4,5.9,ALGORITHMS,BD,EN,TA
20117,CSCI,3287,1,KING,ROGER,40,29,97%,3.5,1.5,3.6,1.5,4-6,4,3.5,5,4,3.5,5.8,DATABASES INFO SYSTEMS,BD,EN,TTT
20117,CSCI,3302,10,CORRELL,NIKOLAUS,35,24,100%,4.3,1,4.7,0.7,7-9,4.8,4.6,5,4.9,4.4,5.8,INTRODUCTION TO ROBOTICS,BD,EN,TTT
20117,CSCI,3302,11,WING,ROWAN,15,11,82%,4.7,0.9,5.2,0.4,7-9,4.7,5,5.2,4.5,4.9,5.7,INTRODUCTION TO ROBOTICS,BD,EN,TA
20117,CSCI,3302,12,WING,ROWAN,20,20,100%,4.8,1.1,5.5,0.8,7-9,4.5,5.1,5.3,4.8,4.7,5.9,INTRODUCTION TO ROBOTICS,BD,EN,TA
20117,CSCI,3308,10,WHITE,ELIZABETH,62,37,95%,4.5,1.4,4.9,1.5,7-9,4.7,4.7,5.5,4.4,4.5,6,SOFTWARE ENG METHODS AND,BD,EN,OTH
20117,CSCI,3308,11,BARRENECHEA,MARIO,17,5,100%,4.8,1.1,5.4,0.9,4-6,5.2,5.2,5,4,4.8,6,SOFTWARE ENG METHODS AND,BD,EN,TA
20117,CSCI,3308,12,BARRENECHEA,MARIO,20,10,100%,4.8,0.4,5.6,0.5,4-6,5,5.1,5.3,4.1,4.7,6,SOFTWARE ENG METHODS AND,BD,EN,TA
20117,CSCI,3308,13,BASAWAPATNA,ASHOK,20,10,100%,4.2,0.8,5.3,0.9,4-6,3.9,4.9,5.2,3.5,3.8,6,SOFTWARE ENG METHODS AND,BD,EN,TA
20117,CSCI,3308,14,BASAWAPATNA,ASHOK,5,4,100%,5.3,0.5,5.8,0.5,4-6,4.5,5.3,5.8,5,4.8,6,SOFTWARE ENG METHODS AND,BD,EN,TA
20117,CSCI,4229,1,SCHREUDER,WILLEM,85,49,100%,5,1.2,5.4,0.9,7-9,4.8,5.1,4.7,4.6,4.8,5.9,COMPUTER GRAPHICS,BD,EN,OTH
20117,CSCI,4273,1,MISHRA,SHIVAKANT,46,26,96%,4.7,1.2,4.5,1.5,10-12,5.2,4.4,4.7,5,5,6,NETWORK SYSTEMS,BD,EN,TTT
20117,CSCI,4308,10,KESSEL,ANDREW,47,29,100%,4.2,1.3,4.8,1.2,7-9,4.6,4.2,5.1,3.9,3.9,5.8,SOFTWARE ENGINEERING PRO,BD,EN,TA
20117,CSCI,4308,11,DI NATALE,FRANCESCO,47,19,100%,4.3,1.4,4.7,1.4,7-9,4.9,4.1,4.9,4.1,4.1,5.9,SOFTWARE ENGINEERING PRO,BD,EN,TA
20117,CSCI,4308,11,KANAKIA,ANSHUL,47,20,100%,4.1,1.3,4.6,1.5,7-9,4.7,4.1,4.6,3.7,3.8,5.8,SOFTWARE ENGINEERING PRO,BD,EN,TA
20117,CSCI,4314,1,GOLDBERG,DEBRA,13,13,100%,3.8,0.9,3.8,1.1,4-6,4.2,3.4,5.1,4.7,3.9,5.8,ALGORITHMS: MOLECULARBIO,BD,EN,TTT
20117,CSCI,4448,1,ANDERSON,KENNETH,85,32,100%,5.2,0.6,5.5,0.7,7-9,4.6,5.3,5.3,4.7,5,5.9,OBJECT-ORIENTED ANLYSIS/,BD,EN,TTT
20117,CSCI,4555,1,CHANG,BOR-YUH,37,26,100%,4.2,1.7,4.7,1.6,16+,4.8,4.6,5.2,5.4,4.7,5.6,COMPILER CONSTRUCTION,BD,EN,TTT
20117,CSCI,4809,1,KING,ROGER,32,18,100%,5.2,0.9,5.7,0.5,7-9,5.6,5.2,5.7,4.9,5.4,6,COMPUTER ANIMATION,BD,EN,TTT
20117,CSCI,4830,1,CLAUSET,AARON,10,10,100%,5.4,0.7,5.6,0.7,10-12,5,5.7,5.8,5.3,5.4,5.9,SPEC TPCS IN COMPUTER SC,BD,EN,TTT
20117,CSCI,4839,1,PALEN,LEYSIA,37,34,100%,4.5,1.2,4.8,1.4,7-9,4.2,4.6,5.1,4.3,4.4,5.5,USER-CENTERED DESIGN,BD,EN,TTT
20117,CSCI,5417,1,MARTIN,JAMES,35,24,100%,5.5,0.6,5.7,0.5,7-9,4.5,5.5,4.6,5,5.5,6,INFORMATION RETRIEVAL SY,BD,EN,TTT
20117,CSCI,5444,1,EHRENFEUCHT,ANDRZEJ,21,18,100%,4.9,1,5.4,0.6,4-6,4.2,5.3,5.2,4.3,4.4,5.9,INTRO TO THEORY OF COMP,BD,EN,TTT
20117,CSCI,5573,1,HAN,RICHARD,27,27,93%,4.2,1.2,4.7,1,7-9,4.9,4.3,4.8,4.6,4.3,5.7,ADVANCED OPERATING SYSTE,BD,EN,TTT
